,Year,Month,Day,Country,Province,Region,city,latitude,longitude,AttackType,Killed,Wounded,Target,Group,Target_type,Weapon_type,Casualties,date
0,1974,12,9,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,2,USIS Center,Undefined,Government (Diplomatic),Explosives,2,1974-12-09
1,1975,1,1,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,0,Pakistan Airlines Boeing 707,Undefined,Airports & Aircraft,Explosives,0,1975-01-01
2,1975,2,8,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Assassination,1,0,"Hayat Mohammed Khan Sherpao, home minister",National Awami Party,Government (General),Firearms,1,1975-02-08
3,1976,10,11,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,1,2,Syrian Embassy,Abu Nidal Organization (ANO),Government (Diplomatic),Firearms,3,1976-10-11
4,1978,8,5,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,4,0,Palestine Liberation Org. office,Abu Nidal Organization (ANO),Terrorists/Non-State Militia,Firearms,4,1978-08-05
5,1979,6,26,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Unarmed Assault,0,2,Embassy card,Undefined,Government (Diplomatic),Melee,2,1979-06-26
6,1980,5,8,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,17,18,Police station,Kabul Government Agents,Police,Explosives,35,1980-05-08
7,1981,9,25,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Assassination,2,2,Chaudly Yahur Elahi and unk (former minister and drived of vehicle),Al-Zulfikar,Government (General),Firearms,4,1981-09-25
8,1982,8,2,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,8,Lahore Airport,Al-Zulfikar,Airports & Aircraft,Explosives,8,1982-08-02
9,1983,2,19,Pakistan,Punjab,South Asia, ,31.090612,72.35952,Bombing/Explosion,0,0,Home of honorary French consul,Undefined,Government (Diplomatic),Explosives,0,1983-02-19
10,1983,7,6,Pakistan,Sindh,South Asia,Sukkur,27.706604,68.848197,Armed Assault,8,8,Police van loaded with prisoners,Undefined,Police,Undefined,16,1983-07-06
11,1983,8,14,Pakistan,Sindh,South Asia,Dadu,26.72357,67.769319,Bombing/Explosion,0,1,Office of the support Zia Movement,Undefined,Police,Explosives,1,1983-08-14
12,1983,9,14,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,0,In a toilet of city (near a cinema),Al-Zulfikar,Private Citizens & Property,Explosives,0,1983-09-14
13,1983,10,25,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,2,17,Bhatigate Chowk (always crowded),Undefined,Private Citizens & Property,Explosives,19,1983-10-25
14,1984,7,28,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,6,20,Headquarters of Afghan rebel group,Undefined,Terrorists/Non-State Militia,Explosives,26,1984-07-28
15,1984,7,28,Pakistan,Federally Administered Tribal Areas,South Asia,Sadda,33.703938,70.328651,Bombing/Explosion,6,29,Undefined,Undefined,Private Citizens & Property,Explosives,35,1984-07-28
16,1986,3,27,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,4,17,Afghan refugee hostel (Nasir Hotel),Undefined,Business,Explosives,21,1986-03-27
17,1986,4,20,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,0,Airline ticket office (BA),Undefined,Airports & Aircraft,Explosives,0,1986-04-20
18,1986,5,6,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,2,House,Undefined,Private Citizens & Property,Explosives,4,1986-05-06
19,1986,5,30,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,7,Home,Undefined,Private Citizens & Property,Explosives,7,1986-05-30
20,1986,6,7,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,5,40,Jissa Khawani Bazaar,Undefined,Private Citizens & Property,Explosives,45,1986-06-07
21,1986,6,15,Pakistan,North-West Frontier Province,South Asia,Pabbi,34.011395,71.798103,Bombing/Explosion,1,35,Khyber Mail express train,Undefined,Transportation,Explosives,36,1986-06-15
22,1986,6,16,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,3,25,Movie House,Undefined,Business,Explosives,28,1986-06-16
23,1986,6,22,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,22,Hotel,Undefined,Business,Explosives,22,1986-06-22
24,1986,7,27,Pakistan,Federally Administered Tribal Areas,South Asia,Kurram district,33.695975,70.336069,Bombing/Explosion,6,3,pick-up truck carrying Afghan refugees,Undefined,Private Citizens & Property,Explosives,9,1986-07-27
25,1986,9,24,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Assassination,0,1,Capital airport,Undefined,Airports & Aircraft,Firearms,1,1986-09-24
26,1987,2,1,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Facility/Infrastructure Attack,0,0,Gas Pipeline 15 mi from city,Pro-Kabul Provocateurs,Utilities,Explosives,0,1987-02-01
27,1987,2,6,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Undefined,1,27,Quetta Hotel,Undefined,Business,Undefined,28,1987-02-06
28,1987,2,19,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,9,61,Truck,Undefined,Private Citizens & Property,Explosives,70,1987-02-19
29,1987,3,23,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,9,100,Allama Ihsan Elahi Zaheer,Undefined,Government (General),Explosives,109,1987-03-23
30,1987,4,9,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,8,40,Kashmiri Bazaar,Undefined,Private Citizens & Property,Explosives,48,1987-04-09
31,1987,5,4,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,0,0,Afghan Refugee Office,Undefined,Government (General),Explosives,0,1987-05-04
32,1987,5,4,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,7,11,Mosque,Undefined,Religious Figures/Institutions,Explosives,18,1987-05-04
33,1987,5,14,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,7,32,Bus Terminal,Undefined,Transportation,Explosives,39,1987-05-14
34,1987,5,22,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,11,Bus Station,Undefined,Transportation,Explosives,11,1987-05-22
35,1987,6,2,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,27,Raja Bazaar,Undefined,Private Citizens & Property,Explosives,27,1987-06-02
36,1987,6,14,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,0,0,US Aid Office,Undefined,Government (Diplomatic),Explosives,0,1987-06-14
37,1987,6,21,Pakistan,Khyber Pakhtunkhwa,South Asia,Swat district,35.481293,72.524259,Assassination,1,0,Prov. Legislator,Undefined,Government (General),Firearms,1,1987-06-21
38,1987,7,4,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,1,5,Hotel,Undefined,Business,Explosives,6,1987-07-04
39,1987,7,5,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,5,50,Train Station,Undefined,Transportation,Explosives,55,1987-07-05
40,1987,7,5,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,5,0,Bus Station,Undefined,Transportation,Explosives,5,1987-07-05
41,1987,8,8,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,36,Tea Stand,Undefined,Business,Explosives,38,1987-08-08
42,1987,8,10,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,10,0,Shopping Area,Undefined,Private Citizens & Property,Explosives,10,1987-08-10
43,1987,8,10,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,5,35,Bus Station,Undefined,Transportation,Explosives,40,1987-08-10
44,1987,8,11,Pakistan,North-West Frontier Province,South Asia,Mardan,34.416681,71.92459,Bombing/Explosion,0,0,Sports Stadium,Undefined,Private Citizens & Property,Explosives,0,1987-08-11
45,1987,8,11,Pakistan,North-West Frontier Province,South Asia,Mardan,34.416681,71.92459,Bombing/Explosion,7,45,Bus Station,Undefined,Transportation,Explosives,52,1987-08-11
46,1987,8,14,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,13,Shopping Area,Undefined,Private Citizens & Property,Explosives,15,1987-08-14
47,1987,8,26,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,1,6,Bus Station,Undefined,Transportation,Explosives,7,1987-08-26
48,1987,9,10,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,2,25,Fruit Market,Undefined,Business,Explosives,27,1987-09-10
49,1987,9,10,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,10,Street,Undefined,Private Citizens & Property,Explosives,10,1987-09-10
50,1987,9,18,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,5,16,Bus Station,Undefined,Transportation,Explosives,21,1987-09-18
51,1987,10,12,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,13,Bus Station,Undefined,Transportation,Explosives,13,1987-10-12
52,1987,11,1,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,1,1,Hotel,Undefined,Business,Explosives,2,1987-11-01
53,1987,11,18,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,1,19,Bus,Undefined,Transportation,Explosives,20,1987-11-18
54,1987,11,22,Pakistan,Balochistan,South Asia, ,28.312161,65.663892,Bombing/Explosion,2,16,Railway Station,Undefined,Transportation,Explosives,18,1987-11-22
55,1987,11,29,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,0,3,Polling Booth,Undefined,Government (General),Explosives,3,1987-11-29
56,1987,12,22,Pakistan,North-West Frontier Province,South Asia,Chamkani,34.005901,71.648872,Bombing/Explosion,0,0,Rail Line,Undefined,Transportation,Explosives,0,1987-12-22
57,1987,12,26,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,1,40,Shalimar-8 Market,Undefined,Business,Explosives,41,1987-12-26
58,1988,1,26,Pakistan,North-West Frontier Province,South Asia,Mingora,34.774479,72.364052,Bombing/Explosion,9,27,Bus,Undefined,Transportation,Explosives,36,1988-01-26
59,1988,2,22,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,11,0,Hotel,Undefined,Business,Explosives,11,1988-02-22
60,1988,2,27,Pakistan,North-West Frontier Province,South Asia,Thal,33.363258,70.547846,Bombing/Explosion,5,11,Bazaar,Undefined,Private Citizens & Property,Explosives,16,1988-02-27
61,1988,3,12,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Hijacking,0,1,Aircraft (airbus a-300),Undefined,Airports & Aircraft,Firearms,1,1988-03-12
62,1988,3,25,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,8,Koh Gadai Bus Station,Undefined,Transportation,Explosives,8,1988-03-25
63,1988,3,30,Pakistan,Federally Administered Tribal Areas,South Asia,Sadda,33.703938,70.328651,Bombing/Explosion,7,15,Bazaar,Undefined,Private Citizens & Property,Explosives,22,1988-03-30
64,1988,4,11,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,3,Train,Undefined,Transportation,Explosives,5,1988-04-11
65,1988,4,16,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.14658,71.743538,Bombing/Explosion,4,11,Bus Station,Undefined,Transportation,Explosives,15,1988-04-16
