,date,unit,category,price,currency,country,admname,mktname,producto
0,2004-01-15,KG,cereals and tubers,13.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
1,2004-02-15,KG,cereals and tubers,13.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
2,2004-03-15,KG,cereals and tubers,14.25,PKR,Pakistan,Balochistan,Quetta,Wheat flour
3,2004-04-15,KG,cereals and tubers,12.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
4,2004-05-15,KG,cereals and tubers,13.25,PKR,Pakistan,Balochistan,Quetta,Wheat flour
5,2004-06-15,KG,cereals and tubers,13.405,PKR,Pakistan,Balochistan,Quetta,Wheat flour
6,2004-07-15,KG,cereals and tubers,13.6,PKR,Pakistan,Balochistan,Quetta,Wheat flour
7,2004-08-15,KG,cereals and tubers,13.75,PKR,Pakistan,Balochistan,Quetta,Wheat flour
8,2004-09-15,KG,cereals and tubers,13.75,PKR,Pakistan,Balochistan,Quetta,Wheat flour
9,2004-10-15,KG,cereals and tubers,13.875,PKR,Pakistan,Balochistan,Quetta,Wheat flour
10,2004-11-15,KG,cereals and tubers,14.1875,PKR,Pakistan,Balochistan,Quetta,Wheat flour
11,2004-12-15,KG,cereals and tubers,14.75,PKR,Pakistan,Balochistan,Quetta,Wheat flour
12,2005-01-15,KG,cereals and tubers,14.375,PKR,Pakistan,Balochistan,Quetta,Wheat flour
13,2005-02-15,KG,cereals and tubers,14.25,PKR,Pakistan,Balochistan,Quetta,Wheat flour
14,2005-03-15,KG,cereals and tubers,14.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
15,2005-04-15,KG,cereals and tubers,14.25,PKR,Pakistan,Balochistan,Quetta,Wheat flour
16,2005-05-15,KG,cereals and tubers,13.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
17,2005-06-15,KG,cereals and tubers,12.66,PKR,Pakistan,Balochistan,Quetta,Wheat flour
18,2005-07-15,KG,cereals and tubers,12.66,PKR,Pakistan,Balochistan,Quetta,Wheat flour
19,2005-08-15,KG,cereals and tubers,12.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
20,2005-09-15,KG,cereals and tubers,12.625,PKR,Pakistan,Balochistan,Quetta,Wheat flour
21,2005-10-15,KG,cereals and tubers,12.813,PKR,Pakistan,Balochistan,Quetta,Wheat flour
22,2005-11-15,KG,cereals and tubers,12.875,PKR,Pakistan,Balochistan,Quetta,Wheat flour
23,2005-12-15,KG,cereals and tubers,12.875,PKR,Pakistan,Balochistan,Quetta,Wheat flour
24,2006-01-15,KG,cereals and tubers,12.815,PKR,Pakistan,Balochistan,Quetta,Wheat flour
25,2006-02-15,KG,cereals and tubers,12.97,PKR,Pakistan,Balochistan,Quetta,Wheat flour
26,2006-03-15,KG,cereals and tubers,12.97,PKR,Pakistan,Balochistan,Quetta,Wheat flour
27,2006-04-15,KG,cereals and tubers,13.015,PKR,Pakistan,Balochistan,Quetta,Wheat flour
28,2006-05-15,KG,cereals and tubers,13.15,PKR,Pakistan,Balochistan,Quetta,Wheat flour
29,2006-06-15,KG,cereals and tubers,13.32,PKR,Pakistan,Balochistan,Quetta,Wheat flour
30,2006-07-15,KG,cereals and tubers,13.15,PKR,Pakistan,Balochistan,Quetta,Wheat flour
31,2006-08-15,KG,cereals and tubers,13.29,PKR,Pakistan,Balochistan,Quetta,Wheat flour
32,2006-09-15,KG,cereals and tubers,13.4225,PKR,Pakistan,Balochistan,Quetta,Wheat flour
33,2006-10-15,KG,cereals and tubers,13.19,PKR,Pakistan,Balochistan,Quetta,Wheat flour
34,2006-11-15,KG,cereals and tubers,13.19,PKR,Pakistan,Balochistan,Quetta,Wheat flour
35,2006-12-15,KG,cereals and tubers,13.785,PKR,Pakistan,Balochistan,Quetta,Wheat flour
36,2007-01-15,KG,cereals and tubers,14.13,PKR,Pakistan,Balochistan,Quetta,Wheat flour
37,2007-02-15,KG,cereals and tubers,14.13,PKR,Pakistan,Balochistan,Quetta,Wheat flour
38,2007-03-15,KG,cereals and tubers,14.13,PKR,Pakistan,Balochistan,Quetta,Wheat flour
39,2007-04-15,KG,cereals and tubers,14.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
40,2007-05-15,KG,cereals and tubers,14.1,PKR,Pakistan,Balochistan,Quetta,Wheat flour
41,2007-06-15,KG,cereals and tubers,14.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
42,2007-07-15,KG,cereals and tubers,15.19,PKR,Pakistan,Balochistan,Quetta,Wheat flour
43,2007-08-15,KG,cereals and tubers,15.75,PKR,Pakistan,Balochistan,Quetta,Wheat flour
44,2007-09-15,KG,cereals and tubers,15.696,PKR,Pakistan,Balochistan,Quetta,Wheat flour
45,2007-10-15,KG,cereals and tubers,17.25,PKR,Pakistan,Balochistan,Quetta,Wheat flour
46,2007-11-15,KG,cereals and tubers,19.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
47,2007-12-15,KG,cereals and tubers,19.875,PKR,Pakistan,Balochistan,Quetta,Wheat flour
48,2008-01-15,KG,cereals and tubers,21.05,PKR,Pakistan,Balochistan,Quetta,Wheat flour
49,2008-02-15,KG,cereals and tubers,15.25,PKR,Pakistan,Balochistan,Quetta,Wheat flour
50,2008-03-15,KG,cereals and tubers,15.25,PKR,Pakistan,Balochistan,Quetta,Wheat flour
51,2008-04-15,KG,cereals and tubers,27.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
52,2008-05-15,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
53,2008-06-15,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
54,2008-07-15,KG,cereals and tubers,27.6,PKR,Pakistan,Balochistan,Quetta,Wheat flour
55,2008-08-15,KG,cereals and tubers,27.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
56,2008-09-15,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
57,2008-10-15,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
58,2008-11-15,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
59,2008-12-15,KG,cereals and tubers,32.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
60,2009-01-15,KG,cereals and tubers,28.6,PKR,Pakistan,Balochistan,Quetta,Wheat flour
61,2009-02-15,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
62,2009-03-15,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
63,2009-04-15,KG,cereals and tubers,28.58,PKR,Pakistan,Balochistan,Quetta,Wheat flour
64,2009-05-15,KG,cereals and tubers,28.98,PKR,Pakistan,Balochistan,Quetta,Wheat flour
65,2009-06-15,KG,cereals and tubers,28.98,PKR,Pakistan,Balochistan,Quetta,Wheat flour
66,2009-07-15,KG,cereals and tubers,28.592,PKR,Pakistan,Balochistan,Quetta,Wheat flour
67,2009-08-15,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,Quetta,Wheat flour
68,2009-09-15,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,Quetta,Wheat flour
69,2009-10-15,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,Quetta,Wheat flour
70,2009-11-15,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,Quetta,Wheat flour
71,2009-12-15,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,Quetta,Wheat flour
72,2010-01-15,KG,cereals and tubers,29.82,PKR,Pakistan,Balochistan,Quetta,Wheat flour
73,2010-02-15,KG,cereals and tubers,30.75,PKR,Pakistan,Balochistan,Quetta,Wheat flour
74,2010-03-15,KG,cereals and tubers,30.75,PKR,Pakistan,Balochistan,Quetta,Wheat flour
75,2010-04-15,KG,cereals and tubers,30.3,PKR,Pakistan,Balochistan,Quetta,Wheat flour
76,2010-05-15,KG,cereals and tubers,28.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
77,2010-06-15,KG,cereals and tubers,26.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
78,2010-07-15,KG,cereals and tubers,26.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
79,2010-08-15,KG,cereals and tubers,26.88,PKR,Pakistan,Balochistan,Quetta,Wheat flour
80,2010-09-15,KG,cereals and tubers,28.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
81,2010-10-15,KG,cereals and tubers,29.88,PKR,Pakistan,Balochistan,Quetta,Wheat flour
82,2010-11-15,KG,cereals and tubers,30.25,PKR,Pakistan,Balochistan,Quetta,Wheat flour
83,2010-12-15,KG,cereals and tubers,30.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
84,2011-01-15,KG,cereals and tubers,30.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
85,2011-02-15,KG,cereals and tubers,30.88,PKR,Pakistan,Balochistan,Quetta,Wheat flour
86,2011-03-15,KG,cereals and tubers,31.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
87,2011-04-15,KG,cereals and tubers,31.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
88,2011-05-15,KG,cereals and tubers,30.25,PKR,Pakistan,Balochistan,Quetta,Wheat flour
89,2011-06-15,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
90,2011-07-15,KG,cereals and tubers,30.38,PKR,Pakistan,Balochistan,Quetta,Wheat flour
91,2011-08-15,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
92,2011-09-15,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
93,2011-10-15,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
94,2011-11-15,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,Quetta,Wheat flour
95,2011-12-15,KG,cereals and tubers,31.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
96,2012-01-15,KG,cereals and tubers,32.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
97,2012-02-15,KG,cereals and tubers,32.5,PKR,Pakistan,Balochistan,Quetta,Wheat flour
